"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
"1117","227140_at",4.25e-25,8.67e-27,-13.548394,50.2494901,-4.68130181,"INHBA","inhibin beta A subunit"
"2650","210511_s_at",4.56e-19,2.21e-20,-10.993298,35.5729569,-3.27187043,"INHBA","inhibin beta A subunit"
"5232","1558815_at",2.4e-14,2.29e-15,8.982619,24.1057721,1.3312431,"SORBS2","sorbin and SH3 domain containing 2"
"5351","212942_s_at",3.44e-14,3.37e-15,-8.914572,23.7250223,-2.87896092,"CEMIP","cell migration inducing hyaluronan binding protein"
"9758","238222_at",6.95e-10,1.24e-10,6.985806,13.3351523,5.88274273,"GKN2","gastrokine 2"
"11098","207981_s_at",0.00000000548,0.00000000111,6.558695,11.1785143,2.78898925,"ESRRG","estrogen related receptor gamma"
"11636","207033_at",0.0000000115,0.00000000245,6.401536,10.4021763,4.65710524,"GIF","gastric intrinsic factor"
"11967","220191_at",0.0000000176,0.00000000385,6.310985,9.9593656,5.96862921,"GKN1","gastrokine 1"
"13480","207546_at",0.000000104,0.0000000256,5.92391,8.1058476,4.07552931,"ATP4B","ATPase H+/K+ transporting beta subunit"
"13655","207139_at",0.000000122,0.0000000305,5.886927,7.9322502,3.31020024,"ATP4A","ATPase H+/K+ transporting alpha subunit"
"15986","209966_x_at",0.00000119,0.000000349,5.365536,5.5554458,1.84393246,"ESRRG","estrogen related receptor gamma"
"17292","203820_s_at",0.00000376,0.00000119,-5.092292,4.3662153,-2.0674894,"IGF2BP3","insulin like growth factor 2 mRNA binding protein 3"
"19042","203819_s_at",0.0000149,0.0000052,-4.750459,2.9380762,-1.98333731,"IGF2BP3","insulin like growth factor 2 mRNA binding protein 3"
"20388","210155_at",0.0000353,0.0000132,-4.527196,2.0433201,-1.21098294,"MYOC","myocilin"
"26642","227827_at",0.0011,0.000534,-3.549701,-1.4822096,-1.56353731,"SORBS2","sorbin and SH3 domain containing 2"
"28184","227826_s_at",0.0022,0.00113,-3.328005,-2.1852032,-1.43364285,"SORBS2","sorbin and SH3 domain containing 2"
"29601","206334_at",0.00397,0.00215,3.12984,-2.7810232,2.94243819,"LIPF","lipase F, gastric type"
"30212","226228_at",0.00509,0.00281,3.044671,-3.027421,1.23054224,"AQP4","aquaporin 4"
